City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
397,Vanimo,PG,-2.6741,141.3028,80.89,85,100,7.25,overcast clouds
398,Arawa,PG,-6.2132,155.5367,84.15,69,98,6.44,overcast clouds
399,Mangan,IN,27.5167,88.5333,63.27,54,7,6.22,clear sky
400,Mouila,GA,-1.8685,11.0559,73.13,97,15,0.98,few clouds
401,Linxi,CN,39.7,118.4333,29.21,22,0,9.89,clear sky
402,San Jose De Guanipa,VE,8.8872,-64.1651,71.33,90,93,8.84,overcast clouds
403,Fuerte Olimpo,PY,-21.0415,-57.8738,75.56,69,12,1.86,few clouds
404,Ahuimanu,US,21.4447,-157.8378,74.91,83,20,6.91,few clouds
405,Hongjiang,CN,27.11,109.9956,43.81,80,100,4.85,overcast clouds
406,Nelson Bay,AU,-32.7167,152.15,78.85,76,0,18.01,clear sky
407,Vaitape,PF,-16.5167,-151.75,80.29,77,11,15.66,few clouds
408,Huaicheng,CN,23.9051,112.1931,71.67,28,0,2.75,clear sky
409,Opuwo,NA,-18.0607,13.84,69.06,18,15,2.51,few clouds
410,Cabo San Lucas,MX,22.8909,-109.9124,70.52,74,0,3.85,clear sky
411,Kaeo,NZ,-35.1,173.7833,73.33,75,66,4.74,broken clouds
412,Sinnamary,GF,5.3833,-52.95,76.32,86,56,12.88,broken clouds
413,Alyangula,AU,-13.8483,136.4192,86.45,69,100,9.17,overcast clouds
414,Taltal,CL,-25.4,-70.4833,64.76,81,5,1.79,clear sky
415,Wonthaggi,AU,-38.6044,145.5913,82.6,53,2,11.3,clear sky
416,Mount Gambier,AU,-37.8333,140.7667,94.3,23,54,6.4,broken clouds
417,Broome,US,42.2506,-75.833,21.97,79,100,9.22,overcast clouds
418,Kannur,IN,11.8675,75.3576,86.74,61,38,5.26,scattered clouds
419,Ewa Beach,US,21.3156,-158.0072,75.15,76,0,6.91,clear sky
420,Viedma,AR,-40.8135,-62.9967,65.91,67,53,24.05,broken clouds
421,Springfield,US,37.2153,-93.2982,17.01,81,0,5.75,clear sky
422,Lorengau,PG,-2.0226,147.2712,84.18,72,28,7.63,scattered clouds
423,Maragogi,BR,-9.0122,-35.2225,76.23,82,46,6.15,scattered clouds
424,Novokizhinginsk,RU,51.6115,109.5917,5.88,79,94,4.09,overcast clouds
425,Klaksvik,FO,62.2266,-6.589,31.12,63,99,18.12,overcast clouds
426,Melita,CA,49.2681,-100.9967,21.54,96,100,8.97,overcast clouds
427,Rondonopolis,BR,-16.4708,-54.6356,70.95,97,100,2.55,overcast clouds
428,Mapiripan,CO,2.8892,-72.1256,75.92,68,100,3.94,overcast clouds
429,Bereda,ES,43.2686,-7.5406,45.41,100,47,1.28,scattered clouds
430,Cascais,PT,38.6979,-9.4215,58.51,95,17,11.99,few clouds
431,Coihaique,CL,-45.5752,-72.0662,46.35,49,0,6.91,clear sky
432,Ixtapa,MX,20.7,-105.2,68.23,81,0,3.53,clear sky
433,Vieux-Habitants,GP,16.0589,-61.7659,72.97,72,9,14.14,clear sky
434,Sortland,NO,68.6949,15.4162,40.96,78,100,5.08,overcast clouds
435,Payo,ID,-3.7508,103.6372,89.35,50,99,4.72,overcast clouds
436,San Vicente,AR,-26.6167,-54.1333,64.44,73,6,2.84,clear sky
437,Vigrestad,NO,58.5667,5.7,37.96,63,70,24.67,broken clouds
438,Menongue,AO,-14.6585,17.691,66.88,83,99,7.38,overcast clouds
